Config,r_N,eta,Function,Dimension,Run,Best
rn12_eta0.1,12.0,0.1,F3,10,7,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,10,8,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,10,9,3.986579112347158
rn12_eta0.1,12.0,0.1,F3,30,0,31.810711664704968
rn12_eta0.1,12.0,0.1,F3,30,1,31.810711664704968
rn12_eta0.1,12.0,0.1,F3,30,2,31.810711664704968
rn12_eta0.1,12.0,0.1,F3,30,3,31.810711664704968
rn12_eta0.1,12.0,0.1,F3,30,4,31.810711664704968
rn12_eta0.1,12.0,0.1,F3,30,5,31.810711664704968
rn12_eta0.1,12.0,0.1,F3,30,6,31.810711664704968
