Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.2,10.0,0.2,F10,30,3,11.309771264828557
rn10_eta0.2,10.0,0.2,F10,30,4,6.03903529810168
rn10_eta0.2,10.0,0.2,F10,30,5,1.7012427987751837
rn10_eta0.2,10.0,0.2,F10,30,6,4.974795285466598
rn10_eta0.2,10.0,0.2,F10,30,7,10.21864276047654
rn10_eta0.2,10.0,0.2,F10,30,8,5.611171977358026
rn10_eta0.2,10.0,0.2,F10,30,9,6.141698285013035
rn10_eta0.2,10.0,0.2,F11,10,0,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,1,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,2,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,3,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,4,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,5,0.0
rn10_eta0.2,10.0,0.2,F11,10,6,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,7,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,8,0.0
rn10_eta0.2,10.0,0.2,F11,10,9,217.1396693905731
rn10_eta0.2,10.0,0.2,F11,30,0,0.0
rn10_eta0.2,10.0,0.2,F11,30,1,0.0
rn10_eta0.2,10.0,0.2,F11,30,2,12.109996747208925
rn10_eta0.2,10.0,0.2,F11,30,3,0.0
rn10_eta0.2,10.0,0.2,F11,30,4,0.0693932123849663
rn10_eta0.2,10.0,0.2,F11,30,5,633.7906169072453
rn10_eta0.2,10.0,0.2,F11,30,6,0.0
rn10_eta0.2,10.0,0.2,F11,30,7,52.32050897372187
rn10_eta0.2,10.0,0.2,F11,30,8,0.0693932123849663
rn10_eta0.2,10.0,0.2,F11,30,9,12.109996747209152
rn10_eta0.2,10.0,0.2,F15,10,0,1.3557608456242178
rn10_eta0.2,10.0,0.2,F15,10,1,233.0275166138404
rn10_eta0.2,10.0,0.2,F15,10,2,0.2921182671350379
rn10_eta0.2,10.0,0.2,F15,10,3,1.4921950974919582
rn10_eta0.2,10.0,0.2,F15,10,4,1.1117232924420932
rn10_eta0.2,10.0,0.2,F15,10,5,0.2111202055752983
rn10_eta0.2,10.0,0.2,F15,10,6,233.0371575162419
rn10_eta0.2,10.0,0.2,F15,10,7,233.98303645007832
rn10_eta0.2,10.0,0.2,F15,10,8,1.4626133450396992
rn10_eta0.2,10.0,0.2,F15,10,9,233.96546893088956
rn10_eta0.2,10.0,0.2,F15,30,0,3.42704703434606
rn10_eta0.2,10.0,0.2,F15,30,1,3.209433472326964
rn10_eta0.2,10.0,0.2,F15,30,2,3.603939759632567
rn10_eta0.2,10.0,0.2,F15,30,3,220.4217318503222
rn10_eta0.2,10.0,0.2,F15,30,4,220.73679075557448
rn10_eta0.2,10.0,0.2,F15,30,5,220.6095851312607
rn10_eta0.2,10.0,0.2,F15,30,6,220.510100972931
rn10_eta0.2,10.0,0.2,F15,30,7,3.5173878284940656
rn10_eta0.2,10.0,0.2,F15,30,8,3.482208543657862
rn10_eta0.2,10.0,0.2,F15,30,9,3.2781310013454004
rn10_eta0.4,10.0,0.4,F1,10,0,0.0
rn10_eta0.4,10.0,0.4,F1,10,1,0.0
rn10_eta0.4,10.0,0.4,F1,10,2,0.0
rn10_eta0.4,10.0,0.4,F1,10,3,0.0
rn10_eta0.4,10.0,0.4,F1,10,4,0.0
rn10_eta0.4,10.0,0.4,F1,10,5,0.0
rn10_eta0.4,10.0,0.4,F1,10,6,0.0
rn10_eta0.4,10.0,0.4,F1,10,7,0.0
rn10_eta0.4,10.0,0.4,F1,10,8,0.0
rn10_eta0.4,10.0,0.4,F1,10,9,0.0
rn10_eta0.4,10.0,0.4,F1,30,0,0.0
rn10_eta0.4,10.0,0.4,F1,30,1,0.0
rn10_eta0.4,10.0,0.4,F1,30,2,0.0
rn10_eta0.4,10.0,0.4,F1,30,3,0.0
rn10_eta0.4,10.0,0.4,F1,30,4,0.0
rn10_eta0.4,10.0,0.4,F1,30,5,0.0
rn10_eta0.4,10.0,0.4,F1,30,6,0.0
rn10_eta0.4,10.0,0.4,F1,30,7,0.0
rn10_eta0.4,10.0,0.4,F1,30,8,0.0
rn10_eta0.4,10.0,0.4,F1,30,9,0.0
rn10_eta0.4,10.0,0.4,F3,10,0,0.0
rn10_eta0.4,10.0,0.4,F3,10,1,0.0
rn10_eta0.4,10.0,0.4,F3,10,2,3.986579112347158
rn10_eta0.4,10.0,0.4,F3,10,3,0.0
rn10_eta0.4,10.0,0.4,F3,10,4,0.0
rn10_eta0.4,10.0,0.4,F3,10,5,3.986579112347158
rn10_eta0.4,10.0,0.4,F3,10,6,3.986579112347158
rn10_eta0.4,10.0,0.4,F3,10,7,3.986579112347158
rn10_eta0.4,10.0,0.4,F3,10,8,0.0
rn10_eta0.4,10.0,0.4,F3,10,9,3.986579112347158
rn10_eta0.4,10.0,0.4,F3,30,0,31.810711664704968
rn10_eta0.4,10.0,0.4,F3,30,1,31.810711664704968
rn10_eta0.4,10.0,0.4,F3,30,2,31.810711664704968
