Function,Dimension,Algorithm,best,worst,mean,std,median,iqr
Schwefel,30,WOA,5748.373980431635,8276.758778099975,6767.397358659863,836.1478675774489,6851.968985022851,1511.6828862378552
Schwefel,30,HHO_orig,6362.981658948467,8532.088143065352,7401.53560396556,646.1279585087291,7304.706659559103,758.6738998093751
Schwefel,30,GWO,9260.926314478756,10059.880421854294,9840.09800228121,223.2613487191811,9866.030037572436,209.95590728118623
Zakharov,30,TEMOA_V10,3.6529338478346096e-21,5.081021005662762e-19,8.306577851076675e-20,1.4390615932056627e-19,2.280783543777306e-20,1.0474095464726017e-19
Zakharov,30,TEMOA_V11,1.351551002457395e-15,3.166826786100798e-13,3.789840657846959e-14,8.91864258107186e-14,6.732016555518627e-15,1.0031421098233575e-14
Zakharov,30,jSO,2.3094425249025583e-11,2.3750541002622585e-09,3.889765692712504e-10,7.042665849424876e-10,1.226719003614704e-10,1.5061306211535631e-10
Zakharov,30,LSHADE,6.325720752787562e-11,5.449980819854288e-09,8.512390203661876e-10,1.5545031778772817e-09,2.660281642169724e-10,5.171765896869012e-10
Zakharov,30,DE,0.0013968242618759038,0.09193682660370589,0.03469116159744622,0.030134156524618632,0.027331691653197765,0.046090824517746654
Zakharov,30,PSO,1.3244078748832298e-08,286.56268986504415,37.42595005331267,81.15522950193339,8.471393122487967,30.042468846437984
Zakharov,30,HHO,17.785897013480998,33.311723749111145,23.499175401934593,4.5175597273402275,23.373394730171285,5.906875855893887
Zakharov,30,SCA,57.929483305347716,117.20679605632483,86.46538032421059,16.994509707066065,83.77773807981075,16.724104839560752
Zakharov,30,HHO_orig,339.75538413380235,590.4343529683941,491.0771389152171,64.37357288509241,482.64959908966176,75.13880928358788
Zakharov,30,GWO,483.9536485809979,594.5831208667548,533.1844153979322,32.75265727939349,525.6516672944974,30.65351331351701
Zakharov,30,PSO_orig,121.66454875577216,998.3432797377001,545.255445525241,318.27657847962035,532.7105330350553,513.1329145922894
Zakharov,30,WOA,482.49920076544254,638.4151804917731,569.038279779314,49.29543077773821,567.7953562875856,63.68871856703481
